NR,LINK,ORIGIN,W,L,M2,PRICE
1,H-0003,YAHYALI,117,230,2.69,500
2,H-0029,KIRSEHIR,110,320,3.52,400
3,H-0078,HERKI,150,340,5.1,275
4,H-0080,HERKI,140,340,4.76,275
5,H-0092,HERKI,134,365,4.89,275
6,H-0329,YAHYALI,115,250,2.88,400
7,H-0475,KECIMUHSINE,120,195,2.34,2000
8,H-0542,DÖSEMEALTI,117,192,2.25,650
9,H-1101,K.PINAR,130,466,6.06,1000
10,H-1102,K.PINAR,138,480,6.62,1000
11,H-1176,KONYA-KURDE,140,190,2.66,1200
12,H-1200,TASPINAR,150,270,4.05,750
13,H-1367,HERKI,145,315,4.57,275
14,H-1698,HERIZ,290,390,11.31,2500
15,H-1807,SAMSUN,123,213,2.62,800
16,H-1851,YAHYALI,110,195,2.15,1000
17,H-1856,YAHYALI,125,225,2.81,300
18,H-1905,YAHYALI,122,180,2.2,900
19,H-1910,KARABAG,105,335,3.52,600
20,H-1911,KAZAK,154,215,3.31,1250
21,H-1915,SIVAS,118,200,2.36,200
22,H-1973,HERIZ,265,335,8.88,500
23,H-2004,AVANOS,144,200,2.88,900
24,H-2096,KAZAK,195,355,6.92,2000
25,H-2231,KARABAG,137,250,3.43,600
26,H-2317,TULU,108,160,1.73,200
27,H-2324,TULU,142,200,2.84,350
28,H-2354,TALISH,110,150,1.65,250
29,H-2384,KAGIZMAN,130,355,4.62,700
30,H-2389,BAHTIYAR,163,304,4.96,400
31,H-2390,YOLLUK,110,490,5.39,1000
32,H-2414,ISFAHAN,150,220,3.3,1000
33,H-2416,KAZAK,140,300,4.2,2000
34,H-2759,MEGRI,85,135,1.15,250
35,H-2761,KONYA-LADIK,105,150,1.58,850
36,H-2852,HERIZ,320,390,12.48,3500
37,H-2857,KAZAK,160,350,5.6,1500
38,H-2883,SENEH,140,194,2.72,450
39,H-2886,STAR,109,223,2.43,400
40,H-2888,TASPINAR,110,173,1.9,700
41,H-2892,TULLU,102,345,3.52,250
42,H-2946,TURKMEN,208,290,6.03,850
43,H-2953,SEVAN,152,227,3.45,250
44,H-2977,SAVAK-HEYE,48,132,0.63,250
45,H-2985,BAKU-BAG,35,123,0.43,100
46,H-2999,KAZAK,155,281,4.36,1250
47,H-3006,FERAHAN,110,140,1.54,500
48,H-3022,KAZAK,137,170,2.33,550
49,H-3027,BELUCH,100,150,1.5,350
50,H-3029,FILIKLI,145,190,2.76,100
51,H-3041,AZERI-BAG,45,135,0.61,250
52,H-3044,SHIRAZ,150,190,2.85,200
53,H-3050,PEREPEDIL,115,150,1.73,600
54,H-3067,KAZAK,120,150,1.8,300
55,H-3068,KAZAK,145,200,2.9,500
56,H-3080,SENEBAH-RUNNER,115,610,7.02,2500
57,H-3099,SHIRVAN-MARASALI,115,150,1.73,2000
58,H-3100,KASCHQAI,145,205,2.97,1000
59,H-3112,USHAK-YASTIK,63,87,0.55,100
60,H-3114,MUCUR,120,415,4.98,300
61,H-3118,KONYA-EYER,90,55,0.5,150
62,H-3123,SHIRVAN,115,170,1.96,400
63,H-3129,DOBAG,102,160,1.63,300
64,H-3139,TULU,118,150,1.77,150
65,H-3150,YASTIK,45,70,0.32,100
66,H-3157,GELVERI,111,328,3.64,550
67,H-3158,TULU,140,190,2.66,150
68,H-3161,MOGAN,167,298,4.98,1000
69,H-3169,KUBA,80,112,0.9,350
70,H-3170,KAZAK,126,190,2.39,250
71,H-3180,HEREKE-SILK 24X25,50,70,0.35,8400
72,H-3206,WOLKENBAND,114,173,1.97,900
73,H-3207,WOLKENBAND,120,170,2.04,900
74,H-3216,TEBRIZ,133,183,2.43,250
75,H-3232,TASPINAR,125,170,2.13,800
76,H-3235,TASPINAR,114,175,2,900
77,H-3313,BERGAMA,30,60,0.18,400
78,H-3400,KARABAG,154,213,3.28,1200
79,H-3402,MODERN,256,344,8.81,900
80,H-3403,MODERN,227,236,5.36,500
